A Chronological Presentation Of The Gospel Evidence - taken from - Robert M. Sutherland's Book

Number	Description	Time	Place	Matthew	Mark	Luke	John
Event 1	Authorial Introductions			Matthew 1:1	Mark 1:1	Luke 1:1-4	John 1:1-14; 16-18
Event 2	Jesus' genealogy			Matthew 1:2-17		Luke 3:23-38	
Event 3	The angel's revelation to Zechariah and his response	sometime 6-4 B.C.	Jerusalem, Judea			Luke 1:5-25	
Event 4	The angel's revelation to Mary and her response	sometime 6-4 B.C.	Nazareth, Galilee			Luke 1:26-56	
Event 5	The angel's revelation to Joseph and his response	sometime 6-4 B.C.	Nazareth, Galilee	Matthew 1:18-25			
Event 6	The birth of John the Baptist and Zechariah's response	sometime 6-4 B.C.	Jerusalem, Judea			Luke 1:57-80	
Event 7	Caesar's census and the birth of Jesus	sometime 5-4 B.C.	all of Israel			Luke 2:1-7	
Event 8	The angel's revelation to the Bethlehem shepherds and their discovery of Jesus	sometime 5-4 B.C.	Bethlehem, Judea			Luke 2:8-20	
Event 9	Jesus and Mary at the Temple, and Simeon and Anna's discovery of Jesus	sometime 6-4 B.C.	Jerusalem, Judea			Luke 2:21-38	
Event 10	Wise men journey from the east and their discovery of Jesus	sometime 5-4 B.C.	Bethlehem, Judea	Matthew 2:1-12			
Event 11	Joseph, Mary and Jesus flee into Egypt and return	sometime 5-3 B.C.	Bethlehem, Judea; Egypt; Nazareth, Galilee	Matthew 2:13-23			
Event 12	Jesus' early life in Nazareth	sometime between 3 B.C.to 8-9 A.D.	Nazareth, Galilee			Luke 2:39-40	
Event 13	Jesus' trip to Jerusalem at age 12	sometime 8-9 A.D.	Jerusalem, Judea			Luke 2:41-51	
Event 14	Jesus' early life in Nazareth continued	sometime between 8-9 A.D. to 29 A.D.	Nazareth, Galilee			Luke 2:52	
Event 15	John the Baptist baptizes Jesus	between September 27- October 6, 29 A.D.	Judea	Matthew 3:1-17	Mark 1:2-11	Luke 3:1-22	John 1:6-34
Event 16	Jesus meets Andrew, Peter, Phillip and Nathanael	 one day after Jesus' baptism between September 27- October 6, 29 A.D.	Jordan River area				John 1:35-51
Event 17	Jesus and his friends go to a wedding in Cana	the third day after Jesus' baptism between September 27- October 6, 29 A.D.	Cana, Galilee				John 2:1-12
Event 18	Jesus goes to Capernaum with family and friends	October 29 A.D.	Capernaum, Galilee				John 2:12
Event 19	Jesus is tempted by the devil in the wilderness	sometime October- November 29 A.D.	the Wilderness east of Jerusalem, Judea	Matthew 4:1-11	Mark 1:12-13	Luke 4:1-13	
Event 20	Jesus cleanses the Jerusalem Temple for the first time	sometime between March 29- April 5, 30 A.D.	Jerusalem, Judea				John 2:13-25
Event 20 Appendix	One cleansing or two?			Matthew 21:12-17	Mark 11:15-19	Luke 19:45-48	John 2:13-22
Event 21	Jesus meets with Nicodemus the Pharisee that night	sometime beween March 29- April 5, 30 A.D.	Jerusalem, Judea				John 2:23-3:15
Event 22	Jesus instructs his disciples and they baptize	sometime summer to late fall or winter 30 A.D.	Judea				John 3:22-36
Event 23	John is arrested and Jesus leaves for Galilee	sometime late fall or early winter 30 A.D.	Judea	Matthew 4:12	Mark 1:14	Luke 4:14	John 4:1-3
